Source,Target,weight
Ang Lee,Ziyi Zhang,1
Ang Lee,Pei-pei Cheng,1
Stephen Chow,Sylvia Chang,1
Stephen Chow,Yut Fei Wong,1
Stephen Chow,Wah Yuen,1
Stephen Chow,Ling Bai,1
Stephen Chow,Jiao Xu,1
Andrew Lau,Alan Mak,3
Andrew Lau,Peter Chan,1
Andrew Lau,Teddy Chan,1
Andrew Lau,Tony Leung Chiu Wai,2
Andrew Lau,Andy Lau,1
Andrew Lau,Tony Leung,1
Andrew Lau,Simon Yam,1
Andrew Lau,Anthony Wong Chau-Sang,2
Andrew Lau,Nicholas Tse,1
Andrew Lau,Jay Chow,1
Alan Mak,Tung-shing Yee,1
Alan Mak,Tony Leung Chiu Wai,2
Alan Mak,Andy Lau,1
Alan Mak,Sean Lau,1
Alan Mak,Anthony Wong Chau-Sang,2
Alan Mak,Jay Chow,1
Johnnie To,Patrick Tam,1
Johnnie To,Andy Lau,1
Johnnie To,Tony Leung,2
Johnnie To,Sean Lau,1
Johnnie To,Nick Cheung,1
Johnnie To,Simon Yam,3
Johnnie To,Cecilia Cheung,1
Johnnie To,Michelle Ye,1
Johnnie To,Andy On,1
Johnnie To,Kate Tsui,1
Tung-shing Yee,Peter Chan,1
Tung-shing Yee,Ann Hui,1
Tung-shing Yee,Andy Lau,1
Tung-shing Yee,Sean Lau,2
Tung-shing Yee,Cecilia Cheung,2
Tung-shing Yee,Hee Ching Paw,2
Tung-shing Yee,Anthony Wong Chau-Sang,1
Tung-shing Yee,Ka iChi Liu,1
Tung-shing Yee,Karena Lam,1
Tung-shing Yee,Teresa Mo,1
Patrick Tam,Tony Leung,1
Patrick Tam,Nick Cheung,1
Patrick Tam,Simon Yam,1
Patrick Tam,King-to Ng,1
Patrick Tam,Hailu Qin,1
Peter Chan,Teddy Chan,2
Peter Chan,Andy Lau,2
Peter Chan,Tony Leung,2
Peter Chan,Jet Li,1
Peter Chan,Simon Yam,1
Peter Chan,Angelica Lee,1
Peter Chan,Xun Zhou,2
Peter Chan,Ka iChi Liu,1
Peter Chan,Nicholas Tse,1
Peter Chan,Ling Bai,1
Peter Chan,Eugenia Yuan,1
Ann Hui,Tony Leung,1
Ann Hui,Sean Lau,1
Ann Hui,Simon Yam,1
Ann Hui,Sylvia Chang,1
Ann Hui,Siqin Gaowa,1
Ann Hui,Hee Ching Paw,1
Ann Hui,Kara Wai Ying Hung,1
Ann Hui,Anthony Wong Chau-Sang,1
Ann Hui,Karena Lam,1
Ann Hui,Josie Ho,1
Ann Hui,Lai-wun Chan,1
Ann Hui,Aarif Lee,1
Teddy Chan,Tony Leung,1
Teddy Chan,Simon Yam,1
Teddy Chan,Nicholas Tse,1
Teddy Chan,Eugenia Yuan,1
Tony Leung Chiu Wai,Andy Lau,1
Tony Leung Chiu Wai,Jet Li,1
Tony Leung Chiu Wai,Maggie Cheung,3
Tony Leung Chiu Wai,Ziyi Zhang,2
Tony Leung Chiu Wai,Li Gong,1
Tony Leung Chiu Wai,Anthony Wong Chau-Sang,1
Andy Lau,Jet Li,1
Andy Lau,Cecilia Cheung,1
Andy Lau,Anthony Wong Chau-Sang,1
Andy Lau,Ka iChi Liu,1
Tony Leung,Sean Lau,1
Tony Leung,Nick Cheung,1
Tony Leung,Simon Yam,3
Tony Leung,Nicholas Tse,1
Tony Leung,Ren¨¦ Liu,1
Tony Leung,Ling Bai,1
Tony Leung,Teresa Mo,1
Tony Leung,Kate Tsui,1
Sean Lau,Sylvia Chang,1
Sean Lau,Hee Ching Paw,1
Sean Lau,Andy On,1
Jet Li,Ziyi Zhang,1
Nick Cheung,Simon Yam,1
Nick Cheung,Kai Chi Liu,1
Nick Cheung,Nicholas Tse,1
Simon Yam,Kate Tsui,1
Simon Yam,Aarif Lee,1
Maggie Cheung,Ziyi Zhang,2
Maggie Cheung,Li Gong,1
Sylvia Chang,Josie Ho,1
Cecilia Cheung,Hee Ching Paw,2
Cecilia Cheung,Yut Fei Wong,1
Cecilia Cheung,Ling Bai,1
Ziyi Zhang,Xun Zhou,1
Ziyi Zhang,Li Gong,1
Ziyi Zhang,Peipei Zheng,1
Li Gong,Jay Chou,1
Hee Ching Paw,Lai-wun Chan,1
Kara Wai Ying Hung,Anthony Wong Chau-Sang,1
Yut Fei Wong,Ling Bai,1
Anthony Wong Chau-Sang,Josie Ho,1
Anthony Wong Chau-Sang,Teresa Mo,1
Anthony Wong Chau-Sang,Jay Chou,1
King-to Ng,Hailu Qin,1
Ka iChi Liu,Nicholas Tse,1
Josie Ho,Yuan Tian,1
