Source,Target,Weight
"Crouching Tiger, Hidden Dragon",Durian Durian,1
"Crouching Tiger, Hidden Dragon",In the Mood for Love,2
"Crouching Tiger, Hidden Dragon",2000 AD,0
"Crouching Tiger, Hidden Dragon",Shaolin Soccer,0
"Crouching Tiger, Hidden Dragon",July Rhapsody,1
"Crouching Tiger, Hidden Dragon",Forever and Ever,1
"Crouching Tiger, Hidden Dragon",Visible Secret,0
"Crouching Tiger, Hidden Dragon",The Accidental Spy,0
"Crouching Tiger, Hidden Dragon",Peony Pavilion,2
"Crouching Tiger, Hidden Dragon",Infernal Affairs,1
"Crouching Tiger, Hidden Dragon",The eye,1
"Crouching Tiger, Hidden Dragon",Double Vision,1
"Crouching Tiger, Hidden Dragon",Three,1
"Crouching Tiger, Hidden Dragon",Hero,1
"Crouching Tiger, Hidden Dragon",Running on Karma,1
"Crouching Tiger, Hidden Dragon",PTU,1
"Crouching Tiger, Hidden Dragon",Lost In Time,2
"Crouching Tiger, Hidden Dragon",Men Suddenly In Black,1
"Crouching Tiger, Hidden Dragon",Naked Ambition,1
"Crouching Tiger, Hidden Dragon",Star Runner,2
"Crouching Tiger, Hidden Dragon",The Floating Landscape,2
"Crouching Tiger, Hidden Dragon",Twins Effect,0
"Crouching Tiger, Hidden Dragon",Kung Fu Hustle,0
"Crouching Tiger, Hidden Dragon",One Nite in Mongkok,2
"Crouching Tiger, Hidden Dragon",2046,2
"Crouching Tiger, Hidden Dragon",Dumplings,1
"Crouching Tiger, Hidden Dragon",Butterfly,2
"Crouching Tiger, Hidden Dragon",Election,1
"Crouching Tiger, Hidden Dragon",Perhaps Love,2
"Crouching Tiger, Hidden Dragon",Initial D,1
"Crouching Tiger, Hidden Dragon",2 Young,2
"Crouching Tiger, Hidden Dragon",Divergence,1
"Crouching Tiger, Hidden Dragon",After This Our Exile,1
"Crouching Tiger, Hidden Dragon",My Name Is Fame,1
"Crouching Tiger, Hidden Dragon",Curse of the Golden Flower,2
"Crouching Tiger, Hidden Dragon",The Banquet,1
