source,target,weight,label
Tim Robbins,Sean Penn,1,Mystic River
Tim Robbins,Clint Eastwood,1,Mystic River
Tilda Swinton,Chris Cooper,1,Adaptation
Sean Penn,Clint Eastwood,1,Mystic River
Ron Howard,Jennifer Connelly,1,A Beautiful Mind
Roman Polanski,Adrien Brody,1,The Pianist
Renée Zellweger,Nicole Kidman,1,Cold Mountain
Renée Zellweger,Catherine Zeta-Jones,1,Chicago
Peter Jackson,Cate Blanchett,1,The Lord of the Rings: The Two Towers
Peter Jackson,Adrien Brody,1,King Kong
Nicole Kidman,Jim Broadbent,1,Moulin Rouge
Morgan Freeman,Hilary Swank,1,Million Dollar Baby
Morgan Freeman,Clint Eastwood,1,Million Dollar Baby
Martin Scorsese,Cate Blanchett,1,The Aviator
Kate Winslet,Jim Broadbent,1,Iris
Jennifer Hudson,Jamie Foxx,1,Dreamgirls
Hilary Swank,Clint Eastwood,1,Million Dollar Baby
Heath Ledger,Christian Bale,1,The Dark Knight
Heath Ledger,Ang Lee,1,Brokeback Mountain
