source,target,weight
Gladiator,Traffic,1
Gladiator,Erin Brockovich,1
Gladiator,Pollock,1
Gladiator,"Crouching Tiger, Hidden Dragon",3
Gladiator,Wonder Boys,1
Gladiator,Training Day,1
Gladiator,Iris,2
Gladiator,Monster's Ball,2
Gladiator,A Beautiful Mind,1
Gladiator,The Lord of the Rings: The Fellowship of the Ring,2
Gladiator,Black Hawk Down,1
Gladiator,The Pianist,1
Gladiator,The Hours,2
Gladiator,Road to Perdition,1
Gladiator,Nowhere in Africa,1
Gladiator,Frida,2
Gladiator,8 Mile,1
Gladiator,The Lord of the Rings: The Two Towers,2
Gladiator,Mystic River,1
Gladiator,Monster,1
Gladiator,Cold Mountain,2
Gladiator,The Lord of the Rings: The Return of the King,2
Gladiator,Master and Commander: The Far Side of the World,2
Gladiator,The Barbarian Invasions,2
Gladiator,Ray,1
Gladiator,Million Dollar Baby,1
Gladiator,The Aviator,1
Gladiator,The Incredibles,1
Gladiator,The Sea Inside,2
Gladiator,Spider-Man 2,2
Gladiator,Sideways,2
Gladiator,Capote,1
Gladiator,Syriana,1
Gladiator,Walk the Line,2
Gladiator,The Constant Gardener,2
Gladiator,Memoirs of a Geisha,2
Gladiator,Brokeback Mountain,2
Gladiator,Crash,1
Gladiator,Tsotsi,1
Gladiator,Hustle & Flow,1
Gladiator,King Kong,3
Gladiator,The Last King of Scotland,1
Gladiator,Little Miss Sunshine,1
Gladiator,The Queen,1
Gladiator,Dreamgirls,1
Gladiator,Happy Feet,1
Gladiator,Pan's Labyrinth,1
Gladiator,Marie Antoinette,2
Gladiator,The Departed,1
Gladiator,The Lives of Others,1
Gladiator,Pirates of the Caribbean: Dead Man's Chest,1
Gladiator,There Will Be Blood,1
Gladiator,No Country for Old Men,1
Gladiator,Michael Clayton,1
Gladiator,Elizabeth: The Golden Age,1
Gladiator,The Bourne Ultimatum,1
Gladiator,Once,2
Gladiator,Milk,1
Gladiator,The Dark Knight,2
Gladiator,The Reader,2
Gladiator,Vicky Cristina Barcelona,2
Gladiator,The Curious Case of Benjamin Button,2
Gladiator,Slumdog Millionaire,2
Gladiator,The Duchess,2
Gladiator,Crazy Heart,2
Gladiator,Inglourious Basterds,1
Gladiator,The Blind Side,1
